Distrito,NumDistrito,Poblacion_total,NumAccidentes,NumAccidentesPP
L'Eixample,2,266857,18234,0.06832873036869934
Les Corts,4,81074,4261,0.052556923304635274
Sarrià-Sant Gervasi,5,148201,6687,0.045121153028657025
Sants-Montjuïc,3,183770,6806,0.0370354247156772
Ciutat Vella,1,106028,3438,0.03242539706492625
Sant Martí,10,239465,7733,0.03229281940993465
Sant Andreu,9,149826,3987,0.026610868607584798
Horta-Guinardó,7,172109,4517,0.026244995903758665
Gràcia,6,121915,3061,0.025107656974121314
Nou Barris,8,170736,3411,0.019978211976384594
